pid	imageid	finishing	shotpower	curve	longshots	volleys	freekickaccuracy	penalties	headingaccuracy	positioning	sprintspeed	acceleration	agility	reactions	jumping	stamina	strength	balance	shortpassing	longpassing	crossing	ballcontrol	dribbling	tacticalawareness	vision	standingtackle	slidingtackle	marking	aggression	gkdiving	gkhandling	gkkicking	gkreflexes	gkpositioning	poten	perfcon	perfcon_vn	perfcon_cn	perfcon_id	perfcon_kr	perfcon_th	fullname	shortname	badged	season	league	overallrating	positions	skillmoves	nation	club	birthday	height	weight	leftfoot	rightfoot	attack	defence	speciality	speciality_vn	speciality_cn	speciality_kr	hidden_score	hidden_score_vn	hidden_score_cn	hidden_score_kr	isliveboost	boostvalue
93000942	93000942	94	93	69	88	85	63	92	96	88	89	87	79	85	90	85	98	77	82	74	67	85	85	29	62	26	31	28	88	10	9	13	11	15	91	Average	TB	?	Normal	??	????????	Christian Vieri	C. Vieri	badged y2093	wl	world-league	89	st-89	5	Italy	World Legend	12.7.1973 (44)	185	82	5	3	2	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,?????,????,????,????,?????,??,???"	"??? ???,???,??,?????,?? ??,????,??? ???,????,???"	"Prefer main feet,Strong Header,Desire to win"	"Tránh sai chân thu?n,?ánh ??u m?nh,N? l?c ??n cùng"	"?????,????,???"	"?? ??,??? ??,???"		
93001025	1025	83	90	91	87	88	96	88	57	91	92	88	86	90	88	94	93	87	91	90	93	94	90	72	93	49	50	37	70	20	10	10	11	15	96	Good	Cao	?	Good	?	??	Rui Costa	Rui Costa	badged y2093	wl	world-league	90	cam-90	5	Portugal	World Legend	29.3.1972 (45)	180	74	4	5	2	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Leadership,Impressive Skill,Prefer long shot (AI),Play maker (AI)"	"Lãnh ??o,Tinh t?,Sút xa (AI),Ki?n t?o (AI)"	"???,????,??? (AI),????? (AI)"	"???,??? ???,??? ? ?? (AI),??? ??? (AI)"		
93001040	93001040	81	99	97	96	80	97	86	83	79	97	97	82	94	84	97	89	88	88	81	88	91	88	92	82	89	91	85	91	13	17	15	16	18	93	Good	Cao	?	Good	?	??	Roberto Carlos	Roberto Carlos	badged y2093	wl	world-league	91	rb-91	5	Brazil	World Legend	10.4.1973 (44)	168	70	5	2	3	3	"Perfect Striker,Perfect Defender,Goal Getter,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Freekick Specialist,Delivery cross,Cannon Shooter,Two hearts,Technician,Dominator of the air,Fast runner"	"Cây s?n bàn,T?ng ?á,X? th?,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,Chuyên gia ?á ph?t,T?t bóng,??i pháo,Ng??i không ph?i,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,??????,????,?????,????,???,????,?????,????,????,???,????,?????,??"	"??? ???,??? ???,???,??,?????,?? ???,??? ?,??? ??????,?? ???,?? ??,??? ??,????,??? ???,????"	"Long Throw In,Prefer main feet,Prefer long shot (AI),Outside shooting,Desire to win"	"Ném biên xa,Tránh sai chân thu?n,Sút xa (AI),Sút má ngoài,N? l?c ??n cùng"	"?????,?????,??? (AI),?????,???"	"??? ???,?? ??,??? ? ?? (AI),????? ??,???"		
93001041	93001041	65	78	75	82	60	65	67	86	73	94	91	89	94	85	96	90	94	91	85	93	92	85	87	81	93	91	94	93	11	11	12	12	12	79	Excellent	R?t cao	??	Excellent	??	??????	Javier Zanetti	J. Zanetti	badged y2093	wl	world-league	91	"rm-87,cm-87,rb-91"	5	Argentina	World Legend	10.8.1973 (44)	178	75	4	5	3	3	"Perfect Midfielder,Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Delivery cross,Cannon Shooter,Two hearts,Maestro,Technician,Dominator of the air,Fast runner"	"Nh?c tr??ng,T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,T?t bóng,??i pháo,Ng??i không ph?i,B?c th?y,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,??????,?????,????,???,????,????,????,???,????,????,?????,??"	"??? ????,??? ???,??,?????,?? ???,??? ?,?? ???,?? ??,??? ??,?????,????,??? ???,????"	"Steel Body,Leadership,Strong Header,Super long throw in,Desire to win"	"C?ng c?i,Lãnh ??o,?ánh ??u m?nh,Ném biên r?t xa,N? l?c ??n cùng"	"????,???,????,??????,???"	"???,???,??? ??,???? ???,???"		
93001088	93001088	64	75	44	50	65	37	59	91	81	89	85	75	93	89	93	92	72	79	76	75	82	69	91	73	95	96	94	92	11	12	16	16	15	81	Excellent	R?t cao	??	Excellent	??	??????	Alessandro Nesta	A. Nesta	badged y2093	wl	world-league	91	cb-91	5	Italy	World Legend	19.3.1976 (41)	187	79	3	5	2	3	"Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,???,????,?????,??"	"??? ???,??,?? ???,??? ?,??? ???,????"	"Prefer sliding tackle (AI),Short tempered,Strong Header,Celebrity,Fantastic clear"	"Xo?c bóng (AI),Tranh cãi tr?ng tài,?ánh ??u m?nh,Ngôi sao ???c yêu thích,Siêu c?n phá"	"???? (AI),?????,????,????,?????"	"???? ?? ?? (AI),???,??? ??,???,??? ????"		
93001109	93001109	63	72	40	38	69	40	58	90	82	90	88	75	93	88	97	91	74	81	81	92	82	72	98	72	97	96	96	96	9	6	8	9	11	93	Excellent	R?t cao	??	Excellent	??	??????	Paolo Maldini	P. Maldini	badged y2093	wl	world-league	93	"rb-92,cb-93"	5	Italy	World Legend	26.6.1968 (49)	187	85	4	5	2	3	"Perfect Defender,Tanker,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,???,????,?????,??"	"??? ???,??,?? ???,??? ?,??? ???,????"	"Steel Body,Prefer sliding tackle (AI),Leadership,Fantastic clear"	"C?ng c?i,Xo?c bóng (AI),Lãnh ??o,Siêu c?n phá"	"????,???? (AI),???,?????"	"???,???? ?? ?? (AI),???,??? ????"		
93001116	1116	48	69	56	73	56	55	61	91	71	87	86	79	90	90	90	97	82	77	77	59	79	71	92	77	92	89	93	89	12	19	10	16	13	96	Excellent	R?t cao	??	Excellent	??	??????	Marcel Desailly	M. Desailly	badged y2093	wl	world-league	90	"cdm-86,cb-90"	5	France	World Legend	7.9.1968 (49)	183	85	3	5	1	3	"Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,????,???,????,?????,??"	"??? ???,??,?????,?? ???,??? ?,??? ???,????"	"Prefer sliding tackle (AI),Strong Header"	"Xo?c bóng (AI),?ánh ??u m?nh"	"???? (AI),????"	"???? ?? ?? (AI),??? ??"		
93001183	93001183	37	60	67	56	47	45	60	91	50	84	82	84	91	95	85	91	85	71	67	68	73	62	94	56	94	93	95	95	11	7	13	13	13	91	Excellent	R?t cao	??	Excellent	??	??????	Fabio Cannavaro	F. Cannavaro	badged y2093	wl	world-league	91	"rb-86,cb-91"	5	Italy	World Legend	13.9.1973 (44)	176	75	3	5	1	3	"Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Dominator of the air,Fast runner"	"T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,Chuyên gia không chi?n,Tia ch?p"	"??????,?????,????,???,????,?????,??"	"??? ???,??,?????,?? ???,??? ?,??? ???,????"	"Steel Body,Prefer sliding tackle (AI),Leadership,Desire to win,Fantastic clear"	"C?ng c?i,Xo?c bóng (AI),Lãnh ??o,N? l?c ??n cùng,Siêu c?n phá"	"????,???? (AI),???,???,?????"	"???,???? ?? ?? (AI),???,???,??? ????"		
93001198	93001198	97	85	74	81	95	41	85	92	99	92	91	88	99	88	85	84	83	80	54	54	85	82	30	75	35	32	29	80	18	15	16	12	15	92	Excellent	R?t cao	??	Excellent	??	??????	Filippo Inzaghi	F. Inzaghi	badged y2093	wl	world-league	90	st-90	5	Italy	World Legend	9.8.1973 (44)	181	74	3	5	2	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,?????,????,????,????,?????,??,???"	"??? ???,???,??,?????,?? ??,????,??? ???,????,???"	"Steel Body,Sharp curling shot,Strong Header"	"C?ng c?i,Sút xoáy,?ánh ??u m?nh"	"????,????,????"	"???,??? ????,??? ??"		
93001201	1201	91	83	95	88	83	92	87	73	92	91	92	90	92	77	84	85	94	91	89	88	93	93	27	84	40	27	36	67	20	19	19	13	12	92	Good	Cao	?	Good	?	??	Gianfranco Zola	G. Zola	badged y2093	wl	world-league	90	"st-88,cf-90"	5	Italy	World Legend	5.7.1966 (51)	168	67	4	5	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p,Sát th?"	"???????,????,?????,????,?????,????,????,????,??,???"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????,???"	"Sharp curling shot,Impressive Skill,Play maker (AI),Outside shooting"	"Sút xoáy,Tinh t?,Ki?n t?o (AI),Sút má ngoài"	"????,????,????? (AI),?????"	"??? ????,??? ???,??? ??? (AI),????? ??"		
93001419	93001419	80	83	74	80	71	66	81	89	85	89	88	81	89	88	96	97	81	93	92	71	93	88	90	94	91	86	88	94	13	12	11	17	17	93	Average	TB	?	Normal	??	????????	Patrick Vieira	P. Vieira	badged y2093	wl	world-league	91	"cm-91,cdm-91"	5	France	World Legend	23.6.1976 (41)	192	82	3	5	2	3	"Perfect Striker,Perfect Midfielder,Perfect Defender,Goal Getter,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Cannon Shooter,Maestro,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,Nh?c tr??ng,T?ng ?á,X? th?,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,??i pháo,B?c th?y,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,???????,??????,????,?????,????,???,????,????,????,????,?????,??,???"	"??? ???,??? ????,??? ???,???,??,?????,?? ???,??? ?,?? ??,?????,????,??? ???,????,???"	"Prefer sliding tackle (AI),Leadership,Play maker (AI)"	"Xo?c bóng (AI),Lãnh ??o,Ki?n t?o (AI)"	"???? (AI),???,????? (AI)"	"???? ?? ?? (AI),???,??? ??? (AI)"		
93001605	93001605	84	85	85	89	84	86	84	59	87	93	92	87	88	84	87	86	87	88	86	94	91	87	51	89	33	29	40	72	11	11	16	15	19	93	Good	Cao	?	Good	?	??	Robert Pires	R. Pires	badged y2093	wl	world-league	89	rm-89	5	France	World Legend	29.10.1973 (44)	185	74	4	5	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Sharp curling shot,Pass master"	"Sút xoáy,Chuyên gia chuy?n bóng"	"????,????"	"??? ????,?? ???"		
93004000	4000	94	90	79	87	95	91	91	72	92	90	91	88	90	83	86	91	93	90	83	84	96	91	35	90	45	31	32	88	13	16	12	17	12	94	Good	Cao	?	Good	?	??	Dennis Bergkamp	D. Bergkamp	badged y2093	wl	world-league	91	"st-89,cf-91"	5	Holland	World Legend	10.5.1969 (48)	183	78	4	5	2	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p,Sát th?"	"???????,????,?????,????,?????,????,????,????,??,???"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????,???"	"Sharp curling shot,Impressive Skill"	"Sút xoáy,Tinh t?"	"????,????"	"??? ????,??? ???"		
93004202	4202	68	87	74	84	72	34	74	84	84	88	86	82	90	86	99	92	95	88	84	71	88	79	90	87	91	88	91	99	11	11	11	9	14	79	Good	Cao	?	Good	?	??	Gennaro Gattuso	G. Gattuso	badged y2093	wl	world-league	89	"rm-83,cm-86,cdm-89"	5	Italy	World Legend	9.1.1978 (40)	177	77	3	5	2	3	"Perfect Midfielder,Perfect Defender,Tanker,Acrobatic,Vacuum Cleaner,Wall of Wail,Cannon Shooter,Maestro,Technician,Dominator of the air,Fast runner"	"Nh?c tr??ng,T?ng ?á,Chi?n binh,Ngh? s?,Máy quét,B?c t??ng thép,??i pháo,B?c th?y,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,??????,?????,????,???,????,????,????,????,?????,??"	"??? ????,??? ???,??,?????,?? ???,??? ?,?? ??,?????,????,??? ???,????"	"Steel Body,Prefer sliding tackle (AI),Short tempered,Desire to win,Fantastic clear"	"C?ng c?i,Xo?c bóng (AI),Tranh cãi tr?ng tài,N? l?c ??n cùng,Siêu c?n phá"	"????,???? (AI),?????,???,?????"	"???,???? ?? ?? (AI),???,???,??? ????"		
93004833	4833	93	92	95	87	96	90	95	83	95	88	91	88	89	77	80	92	87	89	84	90	93	93	61	93	62	53	39	95	16	17	13	13	14	95	Average	TB	?	Normal	??	????????	Hristo Stoichkov	H. Stoichkov	badged y2093	wl	world-league	91	"st-91,rw-91"	5	Bulgaria	World Legend	8.2.1966 (52)	178	77	5	3	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,?????,????,?????,????,????,????,?????,??,???"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,??? ???,????,???"	"Prefer individual play (AI),Sharp curling shot,Impressive Skill"	"Cá nhân (AI),Sút xoáy,Tinh t?"	"?? (AI),????,????"	"?? ??? ?? (AI),??? ????,??? ???"		
93005419	5419	93	88	79	83	88	71	91	85	93	96	97	89	96	89	89	86	92	79	59	65	91	90	24	75	25	31	27	70	13	16	10	16	10	92	Low	Th?p	?	Low	?	???	Michael Owen	M. Owen	badged y2093	wl	world-league	90	"st-90,cf-89"	5	England	World Legend	14.12.1979 (38)	173	70	4	5	2	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Cannon Shooter,Technician,Dominator of the air,Fast runner,Solver"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p,Sát th?"	"???????,????,?????,????,????,????,?????,??,???"	"??? ???,???,??,?????,?? ??,????,??? ???,????,???"	Sharp curling shot	Sút xoáy	????	??? ????		
93005589	93005589	84	86	84	90	86	90	87	75	92	90	93	90	88	79	94	87	86	89	90	95	95	93	43	89	47	45	37	86	13	13	17	18	15	95	Good	Cao	?	Good	?	??	Luis Figo	Luis Figo	badged y2093	wl	world-league	91	"rw-91,rm-91"	5	Portugal	World Legend	4.11.1972 (45)	180	75	4	5	3	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Sharp curling shot,Impressive Skill"	"Sút xoáy,Tinh t?"	"????,????"	"??? ????,??? ???"		
93005673	5673	89	87	88	90	85	80	85	73	91	86	86	78	92	75	93	85	82	89	90	90	90	87	49	90	47	37	44	49	16	11	16	11	17	79	Good	Cao	?	Good	?	??	Jari Litmanen	J. Litmanen	badged y2093	wl	world-league	88	cam-88	5	Finland	World Legend	20.2.1971 (47)	181	76	4	5	3	2	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Freekick Specialist,Delivery cross,Cannon Shooter,Technician,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,Chuyên gia ?á ph?t,T?t bóng,??i pháo,V? công,Tia ch?p"	"???????,????,?????,????,?????,????,????,????,??"	"??? ???,???,??,?????,??? ??????,?? ???,?? ??,????,????"	"Short tempered,Sharp curling shot,Play maker (AI)"	"Tranh cãi tr?ng tài,Sút xoáy,Ki?n t?o (AI)"	"?????,????,????? (AI)"	"???,??? ????,??? ??? (AI)"		
93005680	5680	93	90	78	85	88	71	89	96	92	91	89	84	90	93	87	93	84	85	81	70	89	84	42	78	32	45	42	79	16	13	12	18	16	90	Good	Cao	?	Good	?	??	Patrick Kluivert	P. Kluivert	badged y2093	wl	world-league	90	"st-90,cf-88"	5	Holland	World Legend	1.7.1976 (41)	188	81	4	5	3	1	"Perfect Striker,Goal Getter,Tanker,Acrobatic,Cannon Shooter,Technician,Dominator of the air,Fast runner"	"Cây s?n bàn,X? th?,Chi?n binh,Ngh? s?,??i pháo,V? công,Chuyên gia không chi?n,Tia ch?p"	"???????,????,?????,????,????,????,?????,??"	"??? ???,???,??,?????,?? ??,????,??? ???,????"	"Sharp curling shot,Strong Header"	"Sút xoáy,?ánh ??u m?nh"	"????,????"	"??? ????,??? ??"		
